gender,age,who,alcohol,taste
남,30,"친구, 연인, 가족, 혼자",무관,"단맛, 쌉쌀함, 산미, 바디감, 고소함, 화려함, 스파이시, 깔끔함, 탄산감, 탁도, 향"
남,28,"친구, 연인, 혼자",무관,"단맛, 쌉쌀함, 산미"
남,45,친구,10도 이하,"단맛, 깔끔함, 향"
여,24,"친구, 연인, 가족, 혼자",10도 이하,"단맛, 쌉쌀함, 스파이시, 깔끔함, 탄산감"
남,29,"친구, 가족",10도 이상 20도 이하,"깔끔함, 향"
남,28,혼자,10도 이상 20도 이하,"단맛, 깔끔함"
여,25,친구,10도 이하,깔끔함
남,28,친구,10도 이하,"깔끔함, 탄산감, 향"
여,24,"친구, 가족",10도 이상 20도 이하,"단맛, 고소함, 깔끔함, 향"
남,26,친구,무관,깔끔함
남,27,"친구, 혼자",무관,"단맛, 산미, 깔끔함, 탄산감, 향"
남,27,친구,10도 이상 20도 이하,단맛
남,33,"친구, 연인, 혼자",10도 이상 20도 이하,"단맛, 산미, 바디감, 고소함, 스파이시, 깔끔함, 탄산감, 향"
남,100,혼자,20도 이상,"단맛, 쌉쌀함, 산미, 바디감, 고소함, 화려함, 스파이시, 깔끔함, 탄산감, 탁도, 향"
여,26,친구,10도 이상 20도 이하,"단맛, 깔끔함"
남,28,친구,10도 이하,"단맛, 바디감, 고소함, 깔끔함"
여,24,"친구, 연인, 가족, 혼자",10도 이하,"깔끔함, 탄산감, 탁도"
남,28,친구,10도 이상 20도 이하,"바디감, 깔끔함"
남,28,친구,무관,"깔끔함, 향"
여,26,"친구, 연인, 가족, 혼자",10도 이하,"단맛, 바디감, 고소함, 탄산감, 향"
남,20,"친구, 연인, 혼자",무관,"단맛, 고소함, 깔끔함, 향"
남,27,친구,10도 이상 20도 이하,향
남,30,친구,무관,"바디감, 깔끔함, 향"
남,29,"친구, 연인",20도 이상,"단맛, 바디감, 깔끔함, 향"
남,27,친구,10도 이하,"단맛, 깔끔함, 향"
여,24,친구,10도 이상 20도 이하,깔끔함
남,27,"친구, 혼자",10도 이상 20도 이하,"단맛, 쌉쌀함, 바디감"
남,27,친구,무관,깔끔함
남,27,친구,10도 이하,"단맛, 깔끔함"
여,26,"친구, 연인",10도 이하,"단맛, 바디감, 깔끔함"
여,27,"친구, 연인, 가족, 혼자",무관,"단맛, 고소함, 깔끔함, 향"
남,27,친구,20도 이상,"산미, 바디감, 향"
남,46,가족,10도 이하,"단맛, 깔끔함"
남,28,"친구, 연인",무관,"단맛, 바디감, 깔끔함, 향"
남,26,친구,10도 이하,"고소함, 깔끔함"
여,27,"친구, 가족",무관,"단맛, 깔끔함, 탄산감"
남,29,"친구, 연인",10도 이하,"단맛, 쌉쌀함, 고소함, 깔끔함, 탄산감, 향"
여,25,"친구, 연인",10도 이상 20도 이하,깔끔함
남,27,"친구, 가족",,"단맛, 산미"
남,30,"친구, 가족",10도 이상 20도 이하,"쌉쌀함, 깔끔함"
남,26,"친구, 가족",10도 이상 20도 이하,"쌉쌀함, 깔끔함, 탄산감"
남,28,"친구, 연인, 혼자",무관,"깔끔함, 탄산감"
남,27,"친구, 혼자",,"깔끔함, 탄산감"
남,28,친구,10도 이상 20도 이하,"단맛, 깔끔함"
남,27,"친구, 혼자",10도 이상 20도 이하,"단맛, 탄산감, 향"
남,30,"친구, 연인, 가족",무관,"단맛, 고소함, 깔끔함, 향"
남,26,친구,10도 이상 20도 이하,깔끔함
남,29,"친구, 연인, 가족",10도 이상 20도 이하,깔끔함
남,28,"친구, 혼자",10도 이상 20도 이하,깔끔함
여,25,"친구, 연인, 가족",10도 이상 20도 이하,"단맛, 깔끔함, 향"
여,27,"친구, 가족",10도 이하,"단맛, 바디감, 깔끔함"
남,30,"친구, 연인",10도 이상 20도 이하,"깔끔함, 향"
여,23,"친구, 연인, 가족",10도 이상 20도 이하,깔끔함
남,29,친구,10도 이하,탄산감
남,30,친구,무관,"단맛, 산미, 바디감, 고소함, 깔끔함"
여,27,"친구, 연인",10도 이하,"쌉쌀함, 바디감"
남,27,"친구, 가족, 혼자",10도 이상 20도 이하,"산미, 바디감, 향"
남,28,"친구, 혼자",10도 이하,"단맛, 고소함, 깔끔함, 향"
남,27,"친구, 연인, 가족, 혼자",20도 이상,"쌉쌀함, 바디감, 고소함, 깔끔함"
여,26,"친구, 연인, 가족",10도 이하,"탄산감, 향"
남,28,"친구, 연인",무관,"깔끔함, 향"
여,26,친구,10도 이하,"단맛, 쌉쌀함, 깔끔함"
남,26,"친구, 연인",무관,"고소함, 깔끔함"
여,26,친구,10도 이상 20도 이하,"깔끔함, 향"
남,28,"친구, 연인",무관,"단맛, 고소함, 깔끔함, 향"
남,27,"친구, 혼자",무관,"깔끔함, 향"
여,26,"친구, 연인, 가족, 혼자",무관,"산미, 향"
여,28,"친구, 연인, 가족, 혼자",무관,"바디감, 깔끔함, 탄산감, 향"
여,27,"친구, 연인, 가족",10도 이상 20도 이하,"쌉쌀함, 고소함, 깔끔함"
남,26,친구,10도 이하,깔끔함
남,30,"친구, 혼자",무관,"쌉쌀함, 깔끔함, 향"
남,28,"친구, 연인, 가족",10도 이상 20도 이하,"단맛, 깔끔함"
남,26,"친구, 가족",10도 이하,산미
남,28,친구,10도 이하,"깔끔함, 향"
남,29,"친구, 연인",무관,깔끔함
남,26,친구,10도 이하,"깔끔함, 향"
남,30,친구,10도 이하,"단맛, 바디감, 고소함, 깔끔함, 탄산감, 향"
남,27,친구,10도 이상 20도 이하,"단맛, 깔끔함"
여,27,혼자,10도 이하,"단맛, 탄산감"
남,27,"친구, 연인",10도 이하,"단맛, 산미, 고소함"
남,27,"친구, 혼자",10도 이상 20도 이하,"깔끔함, 탄산감"
여,31,친구,무관,"단맛, 고소함, 깔끔함, 향"
남,27,친구,20도 이상,"단맛, 향"
남,28,친구,20도 이상,"바디감, 깔끔함, 향"
남,29,친구,10도 이상 20도 이하,"단맛, 깔끔함"
남,28,"친구, 연인, 가족, 혼자",10도 이하,깔끔함
여,29,혼자,무관,"화려함, 스파이시, 향"
남,25,혼자,10도 이상 20도 이하,쌉쌀함
남,27,"친구, 혼자",10도 이상 20도 이하,"단맛, 산미, 향"
남,26,"친구, 가족",무관,"깔끔함, 향"
남,27,친구,무관,"단맛, 깔끔함, 향"
남,27,"친구, 연인",10도 이상 20도 이하,깔끔함
남,27,친구,10도 이상 20도 이하,"단맛, 깔끔함"
남,27,친구,10도 이상 20도 이하,향
남,28,"친구, 가족",10도 이하,"깔끔함, 탄산감"
여,27,연인,무관,"깔끔함, 탄산감, 향"
남,27,혼자,20도 이상,"쌉쌀함, 화려함, 탁도, 향"
남,28,혼자,20도 이상,쌉쌀함
여,25,친구,무관,"단맛, 산미, 향"
남,27,친구,10도 이상 20도 이하,깔끔함
남,28,친구,무관,"단맛, 바디감, 깔끔함"
여,24,"친구, 가족",10도 이상 20도 이하,"쌉쌀함, 깔끔함, 탄산감"
남,29,혼자,10도 이상 20도 이하,"단맛, 바디감, 탄산감, 향"
남,31,가족,10도 이하,"단맛, 향"
남,27,"친구, 연인",무관,"바디감, 깔끔함, 탁도, 향"
남,30,"친구, 연인",무관,"단맛, 깔끔함"
남,28,"친구, 연인",무관,"쌉쌀함, 바디감, 고소함, 탄산감, 향"
남,27,친구,10도 이하,"산미, 바디감, 고소함, 깔끔함, 탄산감"
여,24,친구,무관,"깔끔함, 향"
남,28,"친구, 가족, 혼자",10도 이하,"단맛, 산미, 깔끔함, 향"
남,27,"친구, 연인, 가족",10도 이상 20도 이하,"단맛, 화려함"
여,24,"친구, 가족, 혼자",10도 이상 20도 이하,"단맛, 고소함, 깔끔함, 탄산감, 향"
남,27,"친구, 혼자",무관,"단맛, 바디감, 깔끔함, 탄산감"
남,27,"친구, 연인",무관,"단맛, 깔끔함, 향"
남,27,"친구, 연인, 가족",무관,"산미, 깔끔함, 향"
남,30,"친구, 혼자",10도 이상 20도 이하,"단맛, 산미, 바디감, 탄산감, 향"
남,26,친구,10도 이하,"단맛, 깔끔함, 향"
여,27,"친구, 가족",10도 이상 20도 이하,"단맛, 깔끔함, 탄산감"
남,41,친구,10도 이상 20도 이하,"고소함, 스파이시"
여,25,"친구, 연인",10도 이상 20도 이하,깔끔함
남,27,친구,무관,"바디감, 향"
여,24,,,단맛
남,26,"친구, 가족",10도 이하,"단맛, 깔끔함, 탄산감, 향"
여,25,"친구, 연인",10도 이하,"단맛, 고소함, 깔끔함, 향"
여,26,"친구, 연인",10도 이상 20도 이하,"단맛, 깔끔함, 탁도, 향"
여,26,"친구, 연인",무관,"산미, 깔끔함, 향"
여,26,"친구, 연인, 가족",무관,"단맛, 산미, 바디감, 깔끔함, 향"
남,30,친구,10도 이하,단맛
